***********************************************************
National CO2 Emissions from Fossil-Fuel Burning,
Cement Manufacture, and Gas Flaring: 1950-2010

Wednesday 26th of February 2014 09:33:00 AM

Source:  Tom Boden
         Gregg Marland
         Bob Andres
         Carbon Dioxide Information Analysis Center
         Oak Ridge National Laboratory
         Oak Ridge, Tennessee 37831-6290
***********************************************************

Cite as: T.A. Boden, G. Marland, and R.J. Andres. 2014. Global, Regional, and National Fossil-Fuel CO2 Emissions.
DOI 10.3334/CDIAC/00001_V2010

All emission estimates are expressed in thousand metric tons of carbon.
To convert these estimates to units of carbon dioxide (CO2), simply multiply these estimates by 3.667.

Per capita emission estimates are expressed in metric tons of carbon.
Population estimates were not available to permit calculations of global 
per capita estimates before 1950.
Bunkers refers to fuels used for international trade and are not included in national totals.

China (Mainland)

Year, Total, Gas, Liquid, Solid, Cement, Flaring, Bunker, Per_capita
1950, 21465, 4, 169, 21183, 109, 0, 0, 0.04
1951, 27763, 2, 256, 27329, 176, 0, 0, 0.05
1952, 34995, 4, 365, 34237, 389, 0, 0, 0.06
1953, 36600, 6, 521, 35546, 528, 0, 0, 0.06
1954, 44011, 8, 912, 42466, 626, 0, 0, 0.07
1955, 52099, 9, 1479, 49999, 612, 0, 0, 0.09
1956, 59047, 13, 2209, 55956, 869, 0, 0, 0.1
1957, 69964, 36, 2453, 66541, 933, 0, 0, 0.11
1958, 143390, 58, 3373, 138694, 1265, 0, 0, 0.22
1959, 196823, 152, 5199, 189803, 1669, 0, 0, 0.3
1960, 212906, 544, 6275, 204251, 1836, 0, 0, 0.32
1961, 150550, 769, 6096, 142597, 1088, 0, 0, 0.23
1962, 120087, 634, 5940, 112425, 1088, 0, 0, 0.18
1963, 119088, 534, 6351, 110842, 1360, 0, 0, 0.17
1964, 119150, 554, 7568, 109599, 1428, 0, 0, 0.17
1965, 129799, 576, 9552, 118175, 1496, 0, 0, 0.18
1966, 142566, 701, 12158, 128212, 1496, 0, 0, 0.2
1967, 118144, 764, 11599, 104694, 1087, 0, 0, 0.16
1968, 127878, 733, 13278, 112642, 1225, 0, 0, 0.17
1969, 157414, 1026, 18245, 136784, 1359, 0, 0, 0.2
1970, 210422, 1502, 25831, 181732, 1357, 0, 0, 0.26
1971, 239060, 1958, 32776, 200990, 3121, 216, 0, 0.29
1972, 254043, 2533, 37753, 210349, 3128, 279, 0, 0.3
1973, 264124, 3130, 43346, 213904, 3400, 345, 0, 0.3
1974, 269434, 3941, 49829, 211818, 3400, 446, 0, 0.3
1975, 312410, 4632, 55729, 247445, 4084, 520, 0, 0.34
1976, 326205, 5286, 65225, 248468, 6705, 520, 0, 0.35
1977, 357325, 6342, 70274, 272546, 7568, 595, 0, 0.38
1978, 398737, 7174, 76963, 304980, 8873, 747, 0, 0.42
1979, 407652, 7581, 75990, 313196, 10050, 836, 0, 0.42
1980, 400107, 7456, 74564, 306404, 10861, 822, 0, 0.41
1981, 395828, 6656, 69971, 307042, 11424, 734, 0, 0.4
1982, 430941, 6250, 70363, 340845, 12794, 689, 0, 0.43
1983, 454603, 6397, 71990, 360765, 14722, 729, 0, 0.44
1984, 494930, 6612, 74086, 396888, 16467, 877, 0, 0.48
1985, 536284, 6774, 77673, 432454, 19383, 0, 0, 0.51
1986, 564213, 7192, 82715, 452344, 21961, 0, 0, 0.53
1987, 602593, 7260, 87752, 483152, 24429, 0, 0, 0.55
1988, 646169, 7454, 93649, 516566, 28500, 0, 0, 0.58
1989, 656815, 7866, 96736, 524082, 28130, 0, 0, 0.58
1990, 671051, 7997, 95006, 539488, 28560, 0, 0, 0.59
1991, 704810, 8400, 102579, 559476, 34355, 0, 0, 0.61
1992, 735201, 8253, 107869, 577161, 41918, 0, 0, 0.63
1993, 785027, 9751, 116962, 608282, 50032, 0, 2250, 0.66
1994, 833990, 11345, 115642, 649724, 57280, 0, 2426, 0.69
1995, 905450, 11582, 127792, 701352, 64724, 0, 895, 0.75
1996, 944393, 12137, 139362, 726092, 66802, 0, 831, 0.77
1997, 946144, 12052, 152282, 712215, 69595, 0, 794, 0.76
1998, 906557, 13783, 152637, 667241, 72896, 0, 1941, 0.73
1999, 904842, 14894, 162869, 649152, 77928, 0, 3416, 0.72
2000, 928601, 16320, 177043, 654047, 81192, 0, 3571, 0.73
2001, 951068, 18329, 179940, 662897, 89901, 0, 3681, 0.74
2002, 1007429, 19900, 190181, 698747, 98600, 0, 3713, 0.78
2003, 1234027, 16579, 209795, 890410, 117243, 0, 1772, 0.95
2004, 1442096, 19520, 243907, 1046749, 131920, 0, 2877, 1.11
2005, 1578952, 23187, 247127, 1163274, 145364, 0, 3418, 1.21
2006, 1749240, 28317, 266254, 1286468, 168201, 0, 3823, 1.33
2007, 1852142, 35338, 274842, 1356843, 185119, 0, 4000, 1.4
2008, 1918583, 40871, 282791, 1404521, 190400, 0, 4284, 1.44
2009, 2097685, 44873, 287934, 1541293, 223584, 0, 5300, 1.57
2010, 2259856, 53683, 312293, 1638200, 255680, 0, 11687, 1.68
