***********************************************************
National CO2 Emissions from Fossil-Fuel Burning,
Cement Manufacture, and Gas Flaring: 1950-2010

Wednesday 26th of February 2014 09:38:21 AM

Source:  Tom Boden
         Gregg Marland
         Bob Andres
         Carbon Dioxide Information Analysis Center
         Oak Ridge National Laboratory
         Oak Ridge, Tennessee 37831-6290
***********************************************************

Cite as: T.A. Boden, G. Marland, and R.J. Andres. 2014. Global, Regional, and National Fossil-Fuel CO2 Emissions.
DOI 10.3334/CDIAC/00001_V2010

All emission estimates are expressed in thousand metric tons of carbon.
To convert these estimates to units of carbon dioxide (CO2), simply multiply these estimates by 3.667.

Per capita emission estimates are expressed in metric tons of carbon.
Population estimates were not available to permit calculations of global 
per capita estimates before 1950.
Bunkers refers to fuels used for international trade and are not included in national totals.

United States of America

Year, Total, Gas, Liquid, Solid, Cement, Flaring, Bunker, Per_capita
1950, 692124, 87123, 244760, 343131, 5341, 11769, 8100, 4.32
1951, 712983, 102677, 262189, 330676, 5786, 11654, 10253, 4.39
1952, 694618, 109931, 273190, 293170, 5860, 12468, 10784, 4.21
1953, 711175, 115541, 286594, 290927, 6209, 11905, 10973, 4.24
1954, 677689, 121179, 290178, 249303, 6398, 10631, 10060, 3.97
1955, 742828, 130784, 313292, 280082, 7304, 11366, 10842, 4.28
1956, 778631, 138070, 328544, 291582, 7735, 12699, 11367, 4.41
1957, 772001, 147556, 325781, 279498, 7278, 11888, 12961, 4.3
1958, 748069, 155759, 332982, 242452, 7570, 9306, 11546, 4.09
1959, 770642, 161902, 343465, 248629, 8251, 8394, 11623, 4.15
1960, 788300, 171950, 349790, 250536, 7750, 8274, 11648, 4.18
1961, 785521, 173694, 354071, 242206, 7854, 7696, 11918, 4.1
1962, 814619, 184598, 364287, 251315, 8163, 6256, 11335, 4.19
1963, 850622, 196085, 370976, 269380, 8545, 5636, 10425, 4.31
1964, 887918, 207170, 380436, 286347, 8939, 5025, 10848, 4.44
1965, 924713, 213593, 399752, 297658, 9019, 4691, 10627, 4.57
1966, 971333, 229860, 417484, 309148, 9319, 5522, 11697, 4.75
1967, 1007829, 240525, 433732, 317426, 8945, 7201, 13196, 4.88
1968, 1044820, 255557, 461087, 311027, 9557, 7592, 14224, 5.01
1969, 1097559, 277861, 486252, 316048, 9670, 7728, 12374, 5.22
1970, 1180503, 289086, 556245, 318802, 9206, 7164, 13270, 5.56
1971, 1188102, 299380, 572409, 302240, 9909, 4165, 12774, 5.54
1972, 1244874, 304496, 619316, 306998, 10432, 3632, 12584, 5.76
1973, 1300844, 301168, 654881, 330391, 10805, 3599, 14614, 5.96
1974, 1254019, 287164, 627704, 326496, 10226, 2429, 14475, 5.69
1975, 1201617, 266957, 609917, 314200, 8602, 1941, 14355, 5.41
1976, 1258004, 271413, 627574, 347823, 9191, 2003, 16780, 5.61
1977, 1293235, 262797, 666681, 351898, 9877, 1982, 20623, 5.71
1978, 1333273, 267531, 679808, 373171, 10546, 2217, 23859, 5.83
1979, 1336344, 277023, 660180, 386122, 10599, 2420, 26979, 5.78
1980, 1287475, 273264, 604441, 398480, 9464, 1826, 30191, 5.52
1981, 1235831, 264716, 554456, 406232, 8998, 1428, 27835, 5.25
1982, 1172784, 246386, 524830, 392268, 7938, 1362, 23252, 4.93
1983, 1182145, 234041, 523926, 413986, 8803, 1389, 21424, 4.92
1984, 1219069, 241877, 533018, 432885, 9710, 1580, 21704, 5.03
1985, 1223469, 234710, 533675, 443963, 9729, 1392, 21032, 5
1986, 1224755, 222922, 557011, 433532, 9860, 1431, 20779, 4.96
1987, 1277456, 236077, 571023, 458737, 9809, 1810, 21517, 5.12
1988, 1333151, 247462, 593897, 480051, 9655, 2086, 23133, 5.29
1989, 1350173, 256119, 591908, 490381, 9692, 2073, 25070, 5.3
1990, 1300283, 258727, 543736, 485909, 9710, 2201, 35600, 5.06
1991, 1316254, 287999, 534850, 481567, 9311, 2527, 37321, 5.07
1992, 1342295, 295483, 547108, 487567, 9640, 2497, 39201, 5.12
1993, 1371630, 300589, 558273, 499178, 10216, 3375, 36039, 5.18
1994, 1396662, 313840, 566208, 502433, 10792, 3389, 35397, 5.22
1995, 1406100, 323228, 566173, 501826, 10652, 4222, 37502, 5.2
1996, 1441518, 323483, 582071, 520930, 10991, 4044, 36585, 5.27
1997, 1477895, 330427, 596852, 535352, 11459, 3806, 34392, 5.34
1998, 1487890, 326514, 609824, 538390, 11631, 1531, 34316, 5.31
1999, 1508506, 334814, 618335, 541784, 11938, 1635, 38142, 5.32
2000, 1558102, 347686, 632129, 564757, 12173, 1356, 40072, 5.44
2001, 1527517, 323181, 634801, 555810, 12301, 1425, 30972, 5.27
2002, 1541028, 336275, 628411, 562471, 12412, 1458, 37633, 5.27
2003, 1549404, 325475, 648067, 561591, 12829, 1442, 33335, 5.24
2004, 1579156, 320723, 662168, 581382, 13466, 1417, 38293, 5.3
2005, 1588872, 318634, 667143, 587621, 13723, 1751, 41091, 5.28
2006, 1564662, 315795, 653101, 580301, 13561, 1903, 42954, 5.15
2007, 1589500, 341040, 648278, 584902, 13172, 2109, 45630, 5.19
2008, 1542634, 340637, 611445, 576183, 11915, 2453, 41815, 4.99
2009, 1448552, 337681, 587466, 512155, 8819, 2431, 38301, 4.65
2010, 1481608, 351457, 587919, 530658, 9136, 2439, 40386, 4.71
