Year,China_Total, USA_Total
1950,21465,692124
1951,27763,712983
1952,34995,694618
1953,36600,711175
1954,44011,677689
1955,52099,742828
1956,59047,778631
1957,69964,772001
1958,143390,748069
1959,196823,770642
1960,212906,788300
1961,150550,785521
1962,120087,814619
1963,119088,850622
1964,119150,887918
1965,129799,924713
1966,142566,971333
1967,118144,1007829
1968,127878,1044820
1969,157414,1097559
1970,210422,1180503
1971,239060,1188102
1972,254043,1244874
1973,264124,1300844
1974,269434,1254019
1975,312410,1201617
1976,326205,1258004
1977,357325,1293235
1978,398737,1333273
1979,407652,1336344
1980,400107,1287475
1981,395828,1235831
1982,430941,1172784
1983,454603,1182145
1984,494930,1219069
1985,536284,1223469
1986,564213,1224755
1987,602593,1277456
1988,646169,1333151
1989,656815,1350173
1990,671051,1300283
1991,704810,1316254
1992,735201,1342295
1993,785027,1371630
1994,833990,1396662
1995,905450,1406100
1996,944393,1441518
1997,946144,1477895
1998,906557,1487890
1999,904842,1508506
2000,928601,1558102
2001,951068,1527517
2002,1007429,1541028
2003,1234027,1549404
2004,1442096,1579156
2005,1578952,1588872
2006,1749240,1564662
2007,1852142,1589500
2008,1918583,1542634
2009,2097685,1448552
2010,2259856,1481608
