Year, Total
1950,692124
1951,712983
1952,694618
1953,711175
1954,677689
1955,742828
1956,778631
1957,772001
1958,748069
1959,770642
1960,788300
1961,785521
1962,814619
1963,850622
1964,887918
1965,924713
1966,971333
1967,1007829
1968,1044820
1969,1097559
1970,1180503
1971,1188102
1972,1244874
1973,1300844
1974,1254019
1975,1201617
1976,1258004
1977,1293235
1978,1333273
1979,1336344
1980,1287475
1981,1235831
1982,1172784
1983,1182145
1984,1219069
1985,1223469
1986,1224755
1987,1277456
1988,1333151
1989,1350173
1990,1300283
1991,1316254
1992,1342295
1993,1371630
1994,1396662
1995,1406100
1996,1441518
1997,1477895
1998,1487890
1999,1508506
2000,1558102
2001,1527517
2002,1541028
2003,1549404
2004,1579156
2005,1588872
2006,1564662
2007,1589500
2008,1542634
2009,1448552
2010,1481608
